method,sample_idx,resolved,validator_ok,proximity,sparsity,plausibility,tier
3-tier RCA,0,True,False,0.7788664712561632,5.0,1.0,1
3-tier RCA,2,True,False,0.8480188729849579,5.0,1.0,1
3-tier RCA,7,True,False,0.9939176204928004,5.0,1.0,1
3-tier RCA,9,True,False,0.8466730244158579,5.0,1.0,1
3-tier RCA,11,True,False,0.2683319788552016,5.0,1.0,1
3-tier RCA,12,True,False,0.17888196348187685,5.0,1.0,1
3-tier RCA,13,True,False,0.2683316322430853,5.0,1.0,1
3-tier RCA,15,True,False,0.8466730244158575,5.0,1.0,1
3-tier RCA,16,True,False,0.31305918795657495,5.0,1.0,1
3-tier RCA,18,True,False,0.3200121698453511,4.0,1.0,1
3-tier RCA,19,True,False,0.3257006039775145,5.0,1.0,1
3-tier RCA,24,True,False,0.3605579590669236,5.0,1.0,1
3-tier RCA,26,True,False,0.26832619032446153,5.0,1.0,1
3-tier RCA,30,True,False,0.9115137468997634,5.0,1.0,1
3-tier RCA,34,True,False,0.8403975326831424,5.0,1.0,1
3-tier RCA,35,True,False,1.0049034121908427,5.0,1.0,1
3-tier RCA,37,True,False,0.2683261903244637,5.0,1.0,1
3-tier RCA,38,True,False,0.35999087348369363,4.0,1.0,1
3-tier RCA,40,True,False,0.697461393218406,5.0,1.0,1
3-tier RCA,41,True,False,0.2683310668103125,5.0,1.0,1
3-tier RCA,42,True,False,0.4919465934802105,5.0,1.0,1
3-tier RCA,45,True,False,0.3599908734836934,4.0,1.0,1
3-tier RCA,46,True,False,0.35777471706097824,5.0,1.0,1
3-tier RCA,49,True,False,0.3225527481360117,5.0,1.0,1
3-tier RCA,51,True,False,0.3200121698453371,4.0,1.0,1
3-tier RCA,53,True,False,0.3599908734836902,4.0,1.0,1
3-tier RCA,56,True,False,0.2683253335926274,5.0,1.0,1
3-tier RCA,57,True,False,0.28000372460032685,4.0,1.0,1
3-tier RCA,61,True,False,0.3577742557271013,5.0,1.0,1
3-tier RCA,62,True,False,0.17888740612858625,5.0,1.0,1
3-tier RCA,64,True,False,0.7715319474097477,5.0,1.0,1
3-tier RCA,65,True,False,0.9494412179511419,5.0,1.0,1
3-tier RCA,67,True,False,0.8533619656667594,5.0,1.0,1
3-tier RCA,69,True,False,0.9608520028094241,5.0,1.0,1
3-tier RCA,71,True,False,0.24476169901224665,5.0,1.0,1
3-tier RCA,72,True,False,0.24120457984685612,5.0,1.0,1
3-tier RCA,75,True,True,0.26990199347200905,5.0,1.0,1
3-tier RCA,77,True,False,0.8909824077887915,5.0,1.0,1
3-tier RCA,80,True,False,0.39999999999998986,4.0,1.0,1
3-tier RCA,84,True,False,0.9352938435597039,5.0,1.0,1
3-tier RCA,85,True,True,0.35776392696375653,5.0,1.0,1
3-tier RCA,87,True,False,0.7715319474097508,5.0,1.0,1
3-tier RCA,90,True,False,0.8533619656667595,5.0,1.0,1
3-tier RCA,91,True,True,0.2235931938810978,5.0,1.0,1
3-tier RCA,93,True,False,0.17071872769318322,5.0,1.0,1
3-tier RCA,94,True,False,0.35777481225716756,5.0,1.0,1
3-tier RCA,96,True,False,0.2683261903244597,5.0,1.0,1
3-tier RCA,97,True,False,0.2683256540090499,5.0,1.0,1
3-tier RCA,99,True,False,0.28000304233738826,4.0,1.0,1
3-tier RCA,100,True,False,0.58137013003266,5.0,1.0,1
3-tier RCA,102,True,True,0.08944966988611286,5.0,1.0,1
3-tier RCA,105,True,True,0.26833163224308676,5.0,1.0,1
3-tier RCA,106,True,False,0.40050982712067973,5.0,1.0,1
3-tier RCA,107,True,False,0.9287727939534228,5.0,1.0,1
3-tier RCA,109,True,False,0.2683261903244607,5.0,1.0,1
3-tier RCA,111,True,False,0.966751263498539,5.0,1.0,1
3-tier RCA,112,True,False,0.5216311212838348,5.0,1.0,1
3-tier RCA,113,True,False,0.3599908734836972,4.0,1.0,1
3-tier RCA,118,True,False,0.8677956760285025,5.0,1.0,1
3-tier RCA,121,True,False,0.24346144786640886,5.0,1.0,1
3-tier RCA,122,True,False,0.2683312193053547,5.0,1.0,1
3-tier RCA,124,True,False,0.268326190324464,5.0,1.0,1
3-tier RCA,127,True,False,0.8604547143570581,5.0,1.0,1
3-tier RCA,130,True,False,0.35999087348370784,4.0,1.0,1
3-tier RCA,131,True,True,0.26832619032447336,5.0,1.0,1
