,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume
Melt temperature,1.0,0.2269952222024802,0.2996480257436677,-0.14555458183824133,0.10275535375095267,0.03439345334874786,0.015714858618765492,-0.0072722920525859405,0.04780235820576013,-0.010446736778240344,-0.03191070877973413,0.08232472276374446,-0.07630379934564936
Mold temperature,0.2269952222024802,1.0,0.715192287058744,-0.5195832385602824,0.38739239926966107,-0.02768571211749465,-0.0888798704048911,0.04031061331250168,0.16518191183897027,-0.24213029456283258,-0.012233167628931438,0.4042804440293467,-0.3756382219576725
time_to_fill,0.2996480257436677,0.715192287058744,1.0,-0.3968643080346028,0.24411320824693816,0.03983582400131302,-0.022717592556879062,-0.0445124336213258,0.018665831586533618,-0.1615474018518835,-0.0915350420424358,0.24102110353467954,-0.234334534110687
ZDx - Plasticizing time,-0.14555458183824133,-0.5195832385602824,-0.3968643080346028,1.0,-0.0939527672264218,-0.1217340797467539,-0.039051072866755014,-0.4027166781448658,-0.5739251072622853,0.26280685465272197,-0.3983792798789045,-0.6580477202009982,0.706702438300237
ZUx - Cycle time,0.10275535375095267,0.38739239926966107,0.24411320824693816,-0.0939527672264218,1.0,-0.30917032148025536,-0.22594185555214347,-0.1216184546786845,-0.012353991649988948,-0.09226807679405846,-0.5995417410374914,-0.024434924936882357,0.060747949374919105
SKx - Closing force,0.03439345334874786,-0.02768571211749465,0.03983582400131302,-0.1217340797467539,-0.30917032148025536,1.0,0.6978067815086998,0.04258932859576726,0.041776313252215855,-0.09043740375568732,0.16234167554484707,0.2177712946498433,-0.19672624448508433
SKs - Clamping force peak value,0.015714858618765492,-0.0888798704048911,-0.022717592556879062,-0.039051072866755014,-0.22594185555214347,0.6978067815086998,1.0,-0.01173281177811883,0.06771272333044859,-0.05633157344023637,0.05110662981694174,0.14693513694893656,-0.09678797939731615
Ms - Torque peak value current cycle,-0.0072722920525859405,0.04031061331250168,-0.0445124336213258,-0.4027166781448658,-0.1216184546786845,0.04258932859576726,-0.01173281177811883,1.0,0.4577814039281924,-0.0857152822081013,0.4115209920394768,0.3511233070907494,-0.4055102864565374
Mm - Torque mean value current cycle,0.04780235820576013,0.16518191183897027,0.018665831586533618,-0.5739251072622853,-0.012353991649988948,0.041776313252215855,0.06771272333044859,0.4577814039281924,1.0,-0.1244113474584672,0.41766172497979037,0.49595498859321957,-0.48583597262753314
APSs - Specific back pressure peak value,-0.010446736778240344,-0.24213029456283258,-0.1615474018518835,0.26280685465272197,-0.09226807679405846,-0.09043740375568732,-0.05633157344023637,-0.0857152822081013,-0.1244113474584672,1.0,-0.08641467356333812,-0.2880881915998509,0.2709977512949307
APVs - Specific injection pressure peak value,-0.03191070877973413,-0.012233167628931438,-0.0915350420424358,-0.3983792798789045,-0.5995417410374914,0.16234167554484707,0.05110662981694174,0.4115209920394768,0.41766172497979037,-0.08641467356333812,1.0,0.5624604997840158,-0.6092913607886588
CPn - Screw position at the end of hold pressure,0.08232472276374446,0.4042804440293467,0.24102110353467954,-0.6580477202009982,-0.024434924936882357,0.2177712946498433,0.14693513694893656,0.3511233070907494,0.49595498859321957,-0.2880881915998509,0.5624604997840158,1.0,-0.8604583362936776
SVo - Shot volume,-0.07630379934564936,-0.3756382219576725,-0.234334534110687,0.706702438300237,0.060747949374919105,-0.19672624448508433,-0.09678797939731615,-0.4055102864565374,-0.48583597262753314,0.2709977512949307,-0.6092913607886588,-0.8604583362936776,1.0
